# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
0                       	3.7731296367802675e-02	2.1328629996147756e-02	1.6402666371654918e-02	-4.3142771290236761e-06	-5.4755117650429725e-04	5.4323689937527369e-04	-5.4539403793978547e-04	2.4629818122464194e-03	-7.1349669420162735e-03	1.7413705571583216e-01	7.9933560915899801e-02	9.4203494799932355e-02
50                      	2.3578001537600375e-02	1.4372420658076566e-02	9.2055808795238094e-03	-3.5716569909634185e-04	-3.5085293645449898e-04	-6.3127626418428692e-06	-1.7227008690632803e-04	2.5834198892763791e-03	-1.2988322967132693e-02	1.7763075510650303e-01	7.5827054586118811e-02	1.0180370052038420e-01
100                     	2.1974310453247131e-02	1.3855216512991641e-02	8.1190939402554924e-03	-8.6588671043087543e-04	-6.6506532804019142e-04	-2.0082138239068393e-04	-2.3212197282475379e-04	2.8680612863680732e-03	-1.3571266724945113e-02	1.7772888735445944e-01	7.5293176952284602e-02	1.0243571040217483e-01
150                     	2.1013819128581954e-02	1.3219515711181337e-02	7.7943034174006165e-03	-7.6469461800036118e-04	-5.0671355812574766e-04	-2.5798105987461352e-04	-1.2436624912556707e-04	2.7126061468903608e-03	-1.4020224181529307e-02	1.7796336335486979e-01	7.4961457495905590e-02	1.0300190585896421e-01
200                     	2.0879455497579125e-02	1.2932738853984257e-02	7.9467166435948696e-03	1.8716357609748734e-05	-4.2209362223910146e-04	4.4080997984885018e-04	-4.3145180104397579e-04	2.4930111051946944e-03	-1.4178215096442449e-02	1.7802007203538536e-01	7.4831820921250222e-02	1.0318825111413513e-01
250                     	2.0815681051027230e-02	1.3120498168945708e-02	7.6951828820815233e-03	-5.8429903680281008e-04	-5.7844380611690044e-04	-5.8552306859096013e-06	-2.8629428771549545e-04	2.7126576434320922e-03	-1.4289985956125035e-02	1.7806724443969768e-01	7.4743636263723809e-02	1.0332360817597387e-01
300                     	2.0727368211792448e-02	1.3089451625436000e-02	7.6379165863564476e-03	-5.8590444645502220e-04	-5.8646393482735502e-04	5.5948837233280100e-07	-2.9351171159984387e-04	2.7257675195397754e-03	-1.4388806787770582e-02	1.7811815188580710e-01	7.4670269155132973e-02	1.0344788273067414e-01
350                     	2.0652392169139239e-02	1.3058691506370550e-02	7.5937006627686881e-03	-6.1794375125310099e-04	-5.9329384337374318e-04	-2.4649907879357820e-05	-2.8432196774719269e-04	2.7324954218009320e-03	-1.4460448446703987e-02	1.7816802547930072e-01	7.4623564292946379e-02	1.0354446118635434e-01
400                     	2.0630788839004641e-02	1.3054539663847098e-02	7.5762491751575449e-03	-6.2385729681566332e-04	-5.9468520553613278e-04	-2.9172091279530576e-05	-2.8275655712830107e-04	2.7391452443447759e-03	-1.4489019489651450e-02	1.7820508413606792e-01	7.4613522578382510e-02	1.0359156155768541e-01
450                     	2.0632841116896818e-02	1.3065285525081655e-02	7.5675555918151630e-03	-6.4140578016822576e-04	-5.9933339847527032e-04	-4.2072381692955481e-05	-2.7863050839115744e-04	2.7488649666332458e-03	-1.4497129531956560e-02	1.7822787290018260e-01	7.4616806918134743e-02	1.0361106598204786e-01
500                     	2.0632936855339054e-02	1.3060186528729608e-02	7.5727503266094466e-03	-6.2656549570930655e-04	-5.9442161349862390e-04	-3.2143882210682606e-05	-2.8113886564397068e-04	2.7437181010600805e-03	-1.4502576668881962e-02	1.7824289576696947e-01	7.4618871214602769e-02	1.0362402455236669e-01
550                     	2.0627269763266128e-02	1.3100461154541188e-02	7.5268086087249397e-03	-7.0523751212378885e-04	-6.1008028961875122e-04	-9.5157222505037612e-05	-2.5746153355685680e-04	2.7868262729081245e-03	-1.4508933264310256e-02	1.7825334901260992e-01	7.4617741241994703e-02	1.0363560777061522e-01
600                     	2.0620295769848897e-02	1.3232726328867451e-02	7.3875694409814441e-03	-9.7070735639644004e-04	-6.7192403830605924e-04	-2.9878331809038086e-04	-1.8657036010783916e-04	2.9225784439430033e-03	-1.4515766535158316e-02	1.7825875134717792e-01	7.4613609138430639e-02	1.0364514220874728e-01
