# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
0                       	Fin	4.4146019694029439e+00	1.1341638480124955e+02	7.6321869514090093e+00
50                      	Fin	4.8746472937125890e-01	1.0359026214785055e+02	3.7615499751805870e+00
100                     	Fin	5.8911300241090737e-02	1.0368899682348084e+02	3.4420503315251243e+00
150                     	Fin	6.4024632099725795e-02	1.0376606866500498e+02	3.2928326777269499e+00
200                     	Fin	8.1190062172185815e-02	1.0382741747513698e+02	3.2007938308361705e+00
250                     	Fin	1.0129088215552740e-01	1.0386887061325505e+02	3.1397652008871613e+00
300                     	Fin	3.3797294494045463e-02	1.0389616124372392e+02	3.0927998758873745e+00
350                     	Fin	8.3833277729921274e-02	1.0391439221379069e+02	3.0557539427692140e+00
400                     	Fin	5.2081372385891514e-02	1.0392669262635543e+02	3.0238000053141172e+00
450                     	Fin	3.4034243314409955e-02	1.0393532796245883e+02	2.9966077964011486e+00
500                     	Fin	2.5592599869797006e-02	1.0394106845726483e+02	2.9751190312527047e+00
550                     	Fin	3.2518217283645984e-02	1.0394506471210147e+02	2.9578454287191951e+00
600                     	Fin	2.6430195659889865e-02	1.0394833424770540e+02	2.9440414217763022e+00
650                     	Fin	5.2753839906736585e-02	1.0395135954449503e+02	2.9331657059880878e+00
700                     	Fin	6.7719698818974175e-02	1.0395422967855735e+02	2.9257728610951097e+00
750                     	Fin	5.5114202380782608e-02	1.0395370956522855e+02	2.9209402392825332e+00
800                     	Fin	1.8581949799703240e-01	1.0395309701705497e+02	2.9169997317121066e+00
850                     	Fin	1.7956113367908860e-01	1.0395321466019881e+02	2.9137376677267879e+00
900                     	Fin	1.2015017639937302e-01	1.0395314943034435e+02	2.9115519332101667e+00
950                     	Fin	8.4630338040641989e-02	1.0395306590662823e+02	2.9096968835598771e+00
1000                    	Fin	7.3791447944047239e-02	1.0395246337567784e+02	2.9081245003152083e+00
1050                    	Fin	6.8527521205680300e-02	1.0395131441250781e+02	2.9071663876021594e+00
1100                    	Fin	9.2113058829716904e-02	1.0395171071094664e+02	2.9069371622935316e+00
1150                    	Fin	9.3392696778287487e-02	1.0395297807765688e+02	2.9064735456979220e+00
1200                    	Fin	4.2384958860741159e-02	1.0395362584905789e+02	2.9061583720742932e+00
1250                    	Fin	7.4513612562377388e-02	1.0395412955185148e+02	2.9058592945166062e+00
1300                    	Fin	1.1686066936953579e-01	1.0395464481950827e+02	2.9051158294724959e+00
1350                    	Fin	4.2733083870040163e-02	1.0395568788332294e+02	2.9037965670059322e+00
1400                    	Fin	5.1660742679408421e-02	1.0395710656455564e+02	2.9036744786217561e+00
1450                    	Fin	1.1724388757076228e-01	1.0395586362137088e+02	2.9041816424019600e+00
1500                    	Fin	1.6362516663974067e-01	1.0395527623820651e+02	2.9047064532525750e+00
1550                    	Fin	1.6762916162493674e-01	1.0395455521563271e+02	2.9049204727146432e+00
1600                    	Fin	1.6037671235193438e-01	1.0395393948618830e+02	2.9054368424687294e+00
1650                    	Fin	9.8542045189169092e-02	1.0395378621761782e+02	2.9054441766459829e+00
1700                    	Fin	1.6516831928864162e-02	1.0395323670183154e+02	2.9051773844311204e+00
1750                    	Fin	3.4133700787577846e-02	1.0395208373000965e+02	2.9046881868172907e+00
1800                    	Fin	8.1052855100790314e-02	1.0395138307185303e+02	2.9049337269784452e+00
1850                    	Fin	6.9756070304612547e-02	1.0395279518710464e+02	2.9051395243707279e+00
1900                    	Fin	1.3966038419485227e-01	1.0395363675161786e+02	2.9050632120544253e+00
1950                    	Fin	7.8394278606588874e-02	1.0395402507582234e+02	2.9050913342719005e+00
2000                    	Fin	4.9447416651540482e-02	1.0395450783954689e+02	2.9048085326174125e+00
2050                    	Fin	5.2379096815401566e-02	1.0395529017218814e+02	2.9037349952014098e+00
2100                    	Fin	7.2954175080527789e-02	1.0395672785270044e+02	2.9033548397438445e+00
2150                    	Fin	3.2899439245242780e-02	1.0395638007763675e+02	2.9037594118584771e+00
2200                    	Fin	8.0515654339311404e-02	1.0395547403901075e+02	2.9044453420562486e+00
2250                    	Fin	1.5066524989013719e-01	1.0395493202260684e+02	2.9048564008729154e+00
2300                    	Fin	1.2411770753095694e-01	1.0395408650870606e+02	2.9053228776508613e+00
2350                    	Fin	1.2365678615122468e-01	1.0395383720553625e+02	2.9055116754913861e+00
2400                    	Fin	5.7302573208890310e-02	1.0395351495945660e+02	2.9054691113805835e+00
2450                    	Fin	4.7512142779016393e-02	1.0395258448442587e+02	2.9048122994444330e+00
2500                    	Fin	8.0155335857280768e-02	1.0395135281120088e+02	2.9048237107725878e+00
