# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
0                       	Fin	1.1385755865124850e+01	2.0040917096765895e+02	2.2349661630738350e+01
50                      	Fin	2.3159763725465572e+00	1.4658426194818230e+02	1.7952495713432818e+01
100                     	Fin	2.4111720925788340e+00	1.4136978728202763e+02	1.7255622319421942e+01
150                     	Fin	2.1578366747104991e+00	1.3858690798970409e+02	1.6670250116179243e+01
200                     	Fin	1.8689380810752454e+00	1.3677907854933406e+02	1.6285132183477753e+01
250                     	Fin	2.0397705160143240e+00	1.3552251154384822e+02	1.6074502942217183e+01
300                     	Fin	2.0102983101429244e+00	1.3480385023538778e+02	1.5948769183705762e+01
350                     	Fin	2.0477492759806957e+00	1.3439565824247995e+02	1.5869149367984031e+01
400                     	Fin	2.0992742599645364e+00	1.3415436059764681e+02	1.5816781269806475e+01
450                     	Fin	2.1477090083623631e+00	1.3400860521262746e+02	1.5781618711400961e+01
500                     	Fin	2.1866800991763782e+00	1.3391912835794221e+02	1.5757534903118211e+01
550                     	Fin	2.2169548795941969e+00	1.3386368154586836e+02	1.5740781839505003e+01
600                     	Fin	2.2404917684689671e+00	1.3382877985330023e+02	1.5728957692281847e+01
650                     	Fin	2.2583214813769104e+00	1.3380651465205113e+02	1.5720513191521995e+01
700                     	Fin	2.2720538113781026e+00	1.3379220724184196e+02	1.5714464506281224e+01
750                     	Fin	2.2828595300123573e+00	1.3378280374003742e+02	1.5710071305975505e+01
800                     	Fin	2.2916341888941978e+00	1.3377655123703380e+02	1.5706869060049431e+01
850                     	Fin	2.2986779009818972e+00	1.3377228413279843e+02	1.5704552147543918e+01
900                     	Fin	2.3039123871581508e+00	1.3376939462140663e+02	1.5702876793287892e+01
950                     	Fin	2.3079066656199445e+00	1.3376745307321505e+02	1.5701680201086299e+01
1000                    	Fin	2.3112511521982233e+00	1.3376609165385480e+02	1.5700822251532166e+01
1015                    	Fin	2.3122062165713460e+00	1.3376575698097281e+02	1.5700613618282945e+01
